game_id,date,away_team,home_team,away_starter,home_starter,venue,city,lat,lon,park_factor,home_xERA,home_FIP,home_xFIP,home_SIERA,home_IP,home_K_pct,home_BB_pct,home_stuff_plus,home_pitching_plus,away_xERA,away_FIP,away_xFIP,away_SIERA,away_IP,away_K_pct,away_BB_pct,away_stuff_plus,away_pitching_plus,home_lineup_xwOBA,away_lineup_xwOBA,home_wRC+,away_wRC+,home_proj_runs,away_proj_runs,total_proj_runs
1,2026-03-25,New York Yankees,San Francisco Giants,Max Fried,Logan Webb,Oracle Park,San Francisco,37.7786,-122.3893,94,3.58,2.6,2.78,3.14,207.0,0.262,0.054000000000000006,106.0,111.0,3.37,3.07,3.41,3.6,195.1,0.23600000000000002,0.064,109,114,0.275,0.35111111111111115,61.666666666666664,128.0,4.16,5.0,9.16
2,2026-03-26,Pittsburgh Pirates,New York Mets,Paul Skenes,Freddy Peralta,Citi Field,New York,40.7571,-73.8458,95,3.42,3.64,3.85,3.68,176.2,0.282,0.091,99.0,106.0,2.65,2.36,3.03,3.1,187.2,0.295,0.057,110,121,0.33711111111111114,0.299,115.0,74.22222222222223,6.56,4.51,11.07
3,2026-03-26,Chicago White Sox,Milwaukee Brewers,Shane Smith,Jacob Misiorowski,American Family Field,Milwaukee,43.028,-87.9712,100,3.4,3.62,3.66,3.56,66.0,0.319,0.114,116.0,119.0,3.98,4.1,4.23,4.2,146.1,0.235,0.094,95,94,0.3128888888888889,0.307875,110.11111111111111,95.125,4.27,4.92,9.19
4,2026-03-26,Washington Nationals,Chicago Cubs,Cade Cavalli,Matthew Boyd,Wrigley Field,Chicago,41.9484,-87.6553,94,3.75,3.65,4.22,4.09,179.2,0.214,0.057999999999999996,99.0,102.0,4.14,4.53,3.93,4.09,48.2,0.183,0.068,104,103,0.33511111111111114,0.2992222222222222,114.44444444444444,85.77777777777777,4.13,4.07,8.2
5,2026-03-26,Minnesota Twins,Baltimore Orioles,Joe Ryan,Trevor Rogers,Camden Yards,Baltimore,39.2838,-76.6218,107,3.4,2.82,3.64,3.75,109.2,0.243,0.069,97.0,100.0,3.43,3.74,3.7,3.32,171.0,0.282,0.057,108,108,0.3237777777777778,0.3207777777777778,99.11111111111111,100.11111111111111,5.48,5.48,10.96
6,2026-03-26,Boston Red Sox,Cincinnati Reds,Garrett Crochet,Andrew Abbott,Great American Ball Park,Cincinnati,39.0979,-84.5082,112,3.55,3.66,4.31,4.2,166.1,0.218,0.063,99.0,102.0,2.88,2.89,2.64,2.86,205.1,0.313,0.057,117,115,0.2978888888888889,0.3194444444444444,80.66666666666667,106.55555555555556,6.29,5.47,11.76
7,2026-03-26,Los Angeles Angels,Houston Astros,Jose Soriano,Hunter Brown,Minute Maid Park,Houston,29.7572,-95.3555,100,3.15,3.14,3.19,3.39,185.1,0.28300000000000003,0.078,105.0,104.0,4.03,3.73,3.54,3.93,169.0,0.21,0.10800000000000001,103,106,0.3262222222222222,0.3178888888888889,111.22222222222223,93.88888888888889,4.39,5.48,9.870000000000001
8,2026-03-26,Detroit Tigers,San Diego Padres,Tarik Skubal,TBD,Petco Park,San Diego,32.7073,-117.1566,93,,,,,,,,,,2.71,2.45,2.66,2.71,195.1,0.322,0.044000000000000004,123,124,0.3321111111111111,0.3018888888888889,107.0,84.33333333333333,6.19,,
9,2026-03-26,Texas Rangers,Philadelphia Phillies,Nathan Eovaldi,Cristopher Sanchez,Citizens Bank Park,Philadelphia,39.9057,-75.1665,105,3.02,2.55,2.77,3.02,202.0,0.263,0.055,118.0,116.0,3.02,2.8,3.03,3.17,130.0,0.26,0.042,100,105,0.323,0.2974444444444444,104.66666666666667,83.22222222222223,6.1,5.61,11.71
10,2026-03-26,Tampa Bay Rays,St. Louis Cardinals,Drew Rasmussen,Matthew Liberatore,Busch Stadium,St. Louis,38.6226,-90.1928,97,4.87,4.03,4.31,4.4,151.2,0.188,0.062,95.0,97.0,3.48,3.84,3.72,3.9,150.0,0.217,0.063,108,109,0.3165,0.3004444444444444,98.0,102.88888888888889,4.79,3.25,8.04
11,2026-03-26,Arizona Diamondbacks,Los Angeles Dodgers,Zac Gallen,Yoshinobu Yamamoto,Dodger Stadium,Los Angeles,34.0739,-118.24,97,2.72,2.94,3.05,3.32,173.2,0.294,0.086,100.0,110.0,4.28,4.5,4.12,4.24,192.0,0.215,0.081,93,99,0.33299999999999996,0.3194444444444444,116.33333333333333,98.11111111111111,4.1,6.18,10.28
12,2026-03-26,Cleveland Guardians,Seattle Mariners,Tanner Bibee,Logan Gilbert,T-Mobile Park,Seattle,47.5914,-122.3325,92,3.08,3.35,2.95,2.86,131.0,0.32299999999999995,0.057999999999999996,104.0,109.0,3.62,4.34,4.17,4.15,182.1,0.213,0.071,104,102,0.3015,0.302,96.75,95.875,4.16,4.9,9.06
13,2026-03-27,Oakland Athletics,Toronto Blue Jays,Luis Severino,Kevin Gausman,Rogers Centre,Toronto,43.6414,-79.3894,102,3.73,3.41,3.77,3.79,193.0,0.244,0.065,102.0,103.0,4.59,4.11,4.63,4.61,162.2,0.17600000000000002,0.071,104,104,0.33987500000000004,0.29277777777777775,115.0,79.66666666666667,4.1,4.35,8.45
