team,players_found,players_missing,missing_names,avg_wOBA,avg_xwOBA,avg_wRC+,avg_HardHit%,avg_Barrel%,avg_K%,avg_BB%
New York Yankees,9,0,,0.35355555555555557,0.35111111111111115,128.0,0.46955555555555556,0.141,0.25222222222222224,0.11444444444444442
San Francisco Giants,9,0,,0.25722222222222224,0.275,61.666666666666664,0.349,0.08066666666666666,0.2761111111111111,0.08477777777777779
Pittsburgh Pirates,9,0,,0.2768888888888889,0.299,74.22222222222223,0.4288888888888889,0.1051111111111111,0.27299999999999996,0.09966666666666667
New York Mets,9,0,,0.3298888888888889,0.33711111111111114,115.0,0.45788888888888885,0.10433333333333333,0.21322222222222223,0.09400000000000001
Chicago White Sox,8,1,Zach DeLoach,0.3045,0.307875,95.125,0.404,0.09375,0.229375,0.07350000000000001
Milwaukee Brewers,9,0,,0.3267777777777778,0.3128888888888889,110.11111111111111,0.4577777777777778,0.08711111111111111,0.24077777777777776,0.07744444444444445
Washington Nationals,9,0,,0.29233333333333333,0.2992222222222222,85.77777777777777,0.3935555555555556,0.058222222222222224,0.19999999999999998,0.07222222222222223
Chicago Cubs,9,0,,0.3307777777777778,0.33511111111111114,114.44444444444444,0.408,0.09722222222222224,0.2008888888888889,0.08177777777777778
Minnesota Twins,9,0,,0.314,0.3207777777777778,100.11111111111111,0.42188888888888887,0.08777777777777779,0.21899999999999997,0.09355555555555556
Baltimore Orioles,9,0,,0.30977777777777776,0.3237777777777778,99.11111111111111,0.43499999999999994,0.12333333333333332,0.2578888888888889,0.09
Boston Red Sox,9,0,,0.32666666666666666,0.3194444444444444,106.55555555555556,0.4553333333333333,0.10288888888888888,0.23677777777777775,0.077
Cincinnati Reds,9,0,,0.2907777777777778,0.2978888888888889,80.66666666666667,0.4104444444444444,0.09955555555555556,0.2688888888888889,0.08500000000000002
Tampa Bay Rays,9,0,,0.31699999999999995,0.3004444444444444,102.88888888888889,0.39644444444444443,0.06711111111111111,0.219,0.0658888888888889
St. Louis Cardinals,8,1,JJ Wetherholt,0.307125,0.3165,98.0,0.35675,0.063375,0.213625,0.086
Detroit Tigers,9,0,,0.29011111111111115,0.3018888888888889,84.33333333333333,0.3821111111111111,0.08333333333333333,0.2488888888888889,0.09911111111111112
San Diego Padres,9,0,,0.3202222222222222,0.3321111111111111,107.0,0.41433333333333333,0.079,0.17322222222222225,0.089
Texas Rangers,9,0,,0.28688888888888886,0.2974444444444444,83.22222222222223,0.4074444444444445,0.07877777777777778,0.2338888888888889,0.07288888888888888
Los Angeles Angels,9,0,,0.30533333333333335,0.3178888888888889,93.88888888888889,0.427,0.1158888888888889,0.2664444444444445,0.08577777777777779
Houston Astros,9,0,,0.32844444444444443,0.3262222222222222,111.22222222222223,0.4093333333333333,0.08133333333333333,0.20655555555555552,0.08
Philadelphia Phillies,9,0,,0.3222222222222222,0.323,104.66666666666667,0.41411111111111104,0.08922222222222223,0.22133333333333335,0.08455555555555555
Arizona Diamondbacks,9,0,,0.3107777777777778,0.3194444444444444,98.11111111111111,0.4153333333333334,0.09600000000000002,0.207,0.07422222222222223
Los Angeles Dodgers,9,0,,0.3368888888888889,0.33299999999999996,116.33333333333333,0.4262222222222222,0.10333333333333333,0.21944444444444444,0.09233333333333332
Cleveland Guardians,8,1,Chase DeLauter,0.30525,0.302,95.875,0.366125,0.07350000000000001,0.21737499999999998,0.08175
Seattle Mariners,8,1,Mitch Haniger,0.3025,0.3015,96.75,0.39175,0.097625,0.282875,0.10325000000000001
Oakland Athletics,9,0,,0.28700000000000003,0.29277777777777775,79.66666666666667,0.4,0.08655555555555555,0.26088888888888895,0.08044444444444446
Toronto Blue Jays,8,1,Kazuma Okamoto,0.33362499999999995,0.33987500000000004,115.0,0.41225,0.094375,0.173625,0.0835
Colorado Rockies,7,2,"Charlie Blackmon, Jake Cave",0.24271428571428572,0.25857142857142856,45.0,0.427,0.1035,0.36242857142857143,0.058
Miami Marlins,8,1,Nick Gordon,0.28375,0.29925,77.875,0.38475,0.080875,0.22874999999999998,0.080875
Kansas City Royals,9,0,,0.3253333333333333,0.32966666666666666,106.55555555555556,0.429,0.09055555555555556,0.19144444444444442,0.08766666666666668
Atlanta Braves,9,0,,0.327,0.3263333333333333,109.33333333333333,0.4467777777777778,0.11177777777777781,0.2538888888888889,0.10177777777777777
